PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
-1.036428221,-0.345992628,-0.207094826,-1.575335729,0.344779667,0.560278292,-0.716047149,-1.413563621,0.22742239,-0.103155212,0.414280751,1.303241289,0.224219658
-0.266618641,0.322041809,-1.769329399,0.493823824,0.148866732,-0.407775168,0.226232579,-1.236259716,0.14954372,-0.310966034,1.364859087,0.165854245,0.351792867
-1.101834051,-0.158564984,-2.180530697,-1.117331892,1.597744724,1.931580041,0.545537332,0.579600224,-0.077631757,-0.07690119,0.585897014,0.913087269,-0.3998336
1.105301542,-1.39430953,-3.049049831,0.845228946,-0.449653706,1.280320758,0.683130152,0.859746903,-0.10139028,0.362570613,-0.378833092,0.101922802,-0.218378722
2.986302139,-2.501212799,0.921916412,-0.420173285,1.344391714,-0.108388449,0.385289406,-1.357106642,0.121061403,-0.134870212,0.195905236,-0.48225859,0.330780866
0.496938904,-1.666546194,-1.526548969,-1.027515116,-0.77459886,-0.637244858,-1.132337407,-0.63847116,-0.226238519,-0.076115894,-0.009148846,-0.211802287,0.118087994
-1.393486446,-1.655563201,-1.272626402,-0.353047107,1.49970246,-0.202673337,-0.320866689,-1.098148059,0.002435644,-0.365073925,-0.321736977,0.085230688,-0.298745318
1.266321832,-0.239924369,-2.549857247,-0.777234281,-1.406198804,-1.444135576,-0.146513852,-0.645451942,0.610424087,-0.239023497,-0.096792835,-0.040078899,-1.171141689
3.782745526,-0.843252827,0.602763264,-0.528128342,1.512161268,-0.770711813,0.123265182,-0.58845955,0.200908543,-0.234737455,1.209223266,-0.072387498,-0.545704633
1.087882201,-0.141701908,-0.663303086,2.635254253,1.769262806,-0.263214209,0.159625872,-0.516583358,0.25775167,-0.492005295,1.180351839,0.463076576,0.108274743
-0.068880758,0.333737937,-1.831350549,0.652326101,-0.078692263,-0.47787762,0.061793911,-1.051938972,0.144519696,-0.307256731,1.148508126,0.350608918,0.145026972
4.231845769,-1.001105408,-0.152359241,-0.352638136,0.743073713,1.79239623,0.701411739,0.965958321,-0.065578968,0.117552323,0.804468936,0.579393523,0.027547577
